Term,Canada
Canada appeared in 217 documents,Total words(m),Frequency(f)
Article #1,122,5
Article #2,121,2
Article #3,104,3
Article #4,90,3
Article #5,141,3
Article #6,134,3
Article #7,134,1
Article #8,87,2
Article #9,88,2
Article #10,106,2
Article #11,121,3
Article #12,128,2
Article #14,122,2
Article #16,128,2
Article #17,120,2
Article #18,138,7
Article #19,123,6
Article #20,130,4
Article #22,135,1
Article #23,94,2
Article #24,122,2
Article #25,122,1
Article #26,133,6
Article #27,134,5
Article #28,136,6
Article #29,132,1
Article #30,123,2
Article #32,125,7
Article #33,141,6
Article #34,127,3
Article #35,128,6
Article #36,139,5
Article #37,126,4
Article #38,130,6
Article #40,128,2
Article #41,122,3
Article #45,60,3
Article #46,121,2
Article #47,148,5
Article #48,132,3
Article #49,120,4
Article #50,94,2
Article #51,134,2
Article #52,135,1
Article #53,113,2
Article #54,91,1
Article #55,118,1
Article #56,133,5
Article #57,131,4
Article #58,135,2
Article #59,87,2
Article #60,131,1
Article #61,123,1
Article #62,131,4
Article #63,120,3
Article #64,126,2
Article #65,96,1
Article #66,141,2
Article #67,102,2
Article #68,106,3
Article #69,99,3
Article #70,116,3
Article #71,121,2
Article #72,128,3
Article #73,121,2
Article #74,113,3
Article #75,117,3
Article #76,128,4
Article #77,111,3
Article #78,129,2
Article #79,86,2
Article #80,94,2
Article #81,104,1
Article #82,135,3
Article #83,136,3
Article #84,137,1
Article #85,131,1
Article #86,131,1
Article #87,136,3
Article #89,120,2
Article #90,150,3
Article #91,142,1
Article #92,137,4
Article #93,154,3
Article #94,110,3
Article #95,135,1
Article #96,132,1
Article #97,131,2
Article #98,130,4
Article #99,133,3
Article #100,146,3
Article #149,125,1
Article #204,123,1
Article #215,106,3
Article #219,127,2
Article #220,112,1
Article #224,114,3
Article #233,115,2
Article #241,109,2
Article #245,127,2
Article #258,126,2
Article #261,105,3
Article #265,105,2
Article #274,116,3
Article #276,116,4
Article #277,106,2
Article #283,97,1
Article #285,114,2
Article #287,108,3
Article #290,128,3
Article #291,89,1
Article #292,115,1
Article #297,112,3
Article #298,103,2
Article #305,115,4
Article #307,139,1
Article #313,123,1
Article #320,123,1
Article #330,120,2
Article #343,135,1
Article #345,97,3
Article #346,157,2
Article #355,107,1
Article #361,94,1
Article #365,108,1
Article #373,129,3
Article #374,119,2
Article #379,91,1
Article #384,98,2
Article #387,128,1
Article #390,96,3
Article #391,91,1
Article #394,135,2
Article #401,134,1
Article #402,138,1
Article #403,113,1
Article #404,132,3
Article #405,130,4
Article #406,113,2
Article #407,144,1
Article #408,136,1
Article #409,130,2
Article #411,142,1
Article #412,133,1
Article #413,102,1
Article #416,139,1
Article #419,133,1
Article #420,128,1
Article #421,146,1
Article #429,147,3
Article #436,132,1
Article #438,127,2
Article #439,138,1
Article #444,102,3
Article #451,108,1
Article #452,99,1
Article #453,108,2
Article #455,121,2
Article #456,135,2
Article #458,73,2
Article #464,93,1
Article #467,110,1
Article #468,101,2
Article #474,126,2
Article #477,125,1
Article #478,124,1
Article #479,113,2
Article #480,126,1
Article #481,135,1
Article #482,101,1
Article #483,121,1
Article #485,125,1
Article #486,103,1
Article #488,110,2
Article #492,142,3
Article #494,101,3
Article #495,129,1
Article #497,123,4
Article #499,95,1
Article #500,103,2
Article #501,134,1
Article #504,157,2
Article #507,156,1
Article #511,129,4
Article #514,99,2
Article #519,102,1
Article #521,121,2
Article #523,95,1
Article #527,116,2
Article #529,96,1
Article #531,104,1
Article #533,115,1
Article #534,101,1
Article #541,98,4
Article #566,101,4
Article #569,97,1
Article #579,117,2
Article #581,120,4
Article #611,124,1
Article #614,124,1
Article #621,129,2
Article #632,96,1
Article #636,129,3
Article #637,118,1
Article #643,150,3
Article #651,85,3
Article #658,131,2
Article #661,127,4
Article #669,128,1
Article #672,134,2
Article #675,113,1
Article #676,122,2
Article #679,126,3
Article #689,133,5
Article #690,130,1
Article #694,127,1
Article #695,123,6
